network_type,canonical_name,dominant_plotline,plotline_count,episode_count,betweenness_full,weighted_degree_full,betweenness_removed,weighted_degree_removed,betweenness_change,community_full,community_removed,community_shifted,cross_scale_community_shift,betweenness_norm,plotline_norm,bridge_score
coarse,Jenny (2.07 scene),slothrop_london_transition,1,1,0.0,0.2682926829268293,0.0,0.5,0.0,1,4,True,False,0.0,0.1111111111111111,0.18333333333333332
coarse,Ghislaine,slothrop_london_transition,1,2,0.0,0.2432846715328467,0.0,0.4199522102747909,0.0,1,4,True,False,0.0,0.1111111111111111,0.18333333333333332
coarse,Jewel,slothrop_london_transition,1,1,0.0,0.1532846715328467,0.0,0.29032258064516125,0.0,1,4,True,False,0.0,0.1111111111111111,0.18333333333333332
coarse,Webley Silvernail,counterforce_science_london,4,6,6.056201550387597e-05,1.7058950104879052,6.151574803149606e-05,1.8427392147444093,9.53732527620094e-07,2,2,False,False,0.00025150905432595576,0.4444444444444444,0.13344651240778002
coarse,Floyd Perdoo,counterforce_science_london,1,1,0.0,0.5652173913043478,0.0,0.5662650602409639,0.0,2,2,False,True,0.0,0.1111111111111111,0.13333333333333333
coarse,Walter Asch,counterforce_science_london,1,1,0.0,0.5625,0.0,0.5625,0.0,2,2,False,True,0.0,0.1111111111111111,0.13333333333333333
coarse,Mindy Bloth,rocket_endgame,1,1,0.0,0.5252525252525253,0.0,0.5783132530120482,0.0,3,3,False,True,0.0,0.1111111111111111,0.13333333333333333
coarse,Catherine (Slothrop girl),counterforce_science_london,1,1,0.0,0.2065217391304347,0.0,0.21686746987951808,0.0,2,2,False,True,0.0,0.1111111111111111,0.13333333333333333
coarse,Jessica Swanlake,counterforce_science_london,3,11,8.074935400516795e-05,5.249302461231285,8.202099737532808e-05,5.2299472318844815,1.2716433701601344e-06,2,2,False,False,0.000335345405767941,0.3333333333333333,0.10015090543259557
coarse,Clive Mossmoon,counterforce_science_london,3,8,6.056201550387597e-05,2.6921013994928846,6.151574803149606e-05,2.665597420253401,9.53732527620094e-07,2,2,False,False,0.00025150905432595576,0.3333333333333333,0.10011317907444667
coarse,Ernest Pudding,counterforce_science_london,3,10,0.0,3.217416758292523,0.0,3.205919860484476,0.0,2,2,False,False,0.0,0.3333333333333333,0.09999999999999999
coarse,Jerome / Jeremy,late_zone_afterlives,3,7,0.0,2.372926095093504,0.0,2.3630028899154407,0.0,2,2,False,False,0.0,0.3333333333333333,0.09999999999999999
coarse,Procalowski,schwarzkommando_zone_line,3,3,0.0,1.0981489155960769,0.0,1.1305044790193306,0.0,1,1,False,False,0.0,0.3333333333333333,0.09999999999999999
